,ID,number_of_rooms,size,parking,residential_complex,ceiling_height,garbage_chute,monthly_payment,floor,amenities,distance,bathroom_encoded,simplify_balcony,allow_pets_children_encoded,flat_floor,floor_index,elevator_encoded,refurbishment_encoded
19258,274612701,2,54.0,0,0,3.461931892599869,1,65000.0,10,0.4,6.051544551750535,0.21052631578947367,0.5,0.0,7,0.7,0.21212121212121213,1.0
19259,274493847,2,48.0,0,0,2.6,1,65000.0,12,0.30000000000000004,7.411477230242269,0.21052631578947367,0.5,0.0,8,0.6666666666666666,0.21212121212121213,1.0
19260,264683812,2,56.0,0,0,3.461931892599869,1,65000.0,12,0.7,7.411477230242269,0.0,0.5,0.0,2,0.16666666666666666,0.3939393939393939,0.5
19261,274744956,2,58.0,0,0,2.7,1,65000.0,14,0.5,7.411477230242269,0.0,0.0,0.3333333333333333,4,0.2857142857142857,0.3939393939393939,0.25
19262,159009395,2,54.0,1,0,2.74,1,65000.0,17,0.6,6.051544551750535,0.0,0.5,0.0,15,0.8823529411764706,0.24242424242424243,0.5
19263,248890481,2,60.0,1,0,3.461931892599869,1,65000.0,9,0.8999999999999999,6.051544551750535,0.0,0.0,0.3333333333333333,3,0.3333333333333333,0.21212121212121213,0.5
19264,274224151,3,67.0,1,0,2.967732260424287,1,70000.0,8,0.30000000000000004,7.411477230242269,0.0,0.5,0.3333333333333333,5,0.625,0.21212121212121213,1.0
19265,274413326,2,55.0,0,0,3.0,1,70000.0,4,0.4,6.051544551750535,0.21052631578947367,0.5,0.0,3,0.75,0.0,1.0
19266,274102837,4,85.0,1,0,2.64,1,70000.0,25,0.7,11.218102854756328,0.21052631578947367,1.0,0.0,8,0.32,0.6363636363636364,0.75
19267,274188373,1,44.0,1,1,3.03741182840023,0,73000.0,21,0.7,6.051544551750535,0.21052631578947367,0.5,1.0,6,0.2857142857142857,0.24242424242424243,0.5
19268,274759111,3,81.0,1,0,2.827033831628639,1,75000.0,8,0.6,7.411477230242269,0.21052631578947367,1.0,0.0,6,0.75,0.21212121212121213,0.75
19269,274836017,1,47.0,1,1,3.6305223880597017,1,75000.0,21,0.5,6.051544551750535,0.21052631578947367,0.5,0.3333333333333333,4,0.19047619047619047,0.21212121212121213,1.0
19270,274931048,2,51.7,0,0,2.8,1,75000.0,9,0.7,7.411477230242269,0.21052631578947367,0.0,0.0,5,0.5555555555555556,0.21212121212121213,0.5
19271,274661331,4,110.0,0,0,3.461931892599869,1,80000.0,8,0.5,6.051544551750535,0.21052631578947367,0.0,0.0,8,1.0,0.21212121212121213,1.0
19272,271003651,2,55.0,1,0,3.0,1,80000.0,10,0.5,6.051544551750535,0.0,0.5,1.0,8,0.8,0.3939393939393939,1.0
19273,273467265,2,56.0,0,0,3.2,1,80000.0,8,0.5,6.051544551750535,0.0,0.0,0.0,8,1.0,0.21212121212121213,1.0
19274,274501125,3,75.0,1,0,2.74,1,80000.0,17,0.7999999999999999,6.051544551750535,0.21052631578947367,0.5,0.0,17,1.0,0.3939393939393939,0.75
19275,273977415,3,76.0,0,0,3.461931892599869,1,85000.0,15,0.9999999999999999,6.051544551750535,0.0,0.0,0.3333333333333333,14,0.9333333333333333,0.09090909090909091,0.5
19276,274340614,3,79.0,0,0,3.2,1,85000.0,8,0.30000000000000004,7.411477230242269,0.21052631578947367,0.0,0.0,6,0.75,0.21212121212121213,1.0
19277,273496656,3,76.0,1,1,2.7,1,85000.0,17,0.4,6.051544551750535,0.0,0.5,0.0,11,0.6470588235294118,0.21212121212121213,1.0
19278,274877181,3,100.0,0,0,3.0,1,85000.0,8,0.5,7.411477230242269,0.2631578947368421,0.5,0.3333333333333333,6,0.75,0.21212121212121213,1.0
19279,273528115,1,43.0,0,1,3.03741182840023,1,85000.0,21,0.7,6.051544551750535,0.21052631578947367,0.5,1.0,15,0.7142857142857143,0.21212121212121213,0.5
19282,274614229,3,70.0,1,0,3.03741182840023,1,87000.0,11,0.8999999999999999,6.051544551750535,0.21052631578947367,0.5,0.0,10,0.9090909090909091,0.3939393939393939,0.5
19283,272389086,1,45.0,0,1,3.03741182840023,1,90000.0,22,0.7999999999999999,6.051544551750535,0.21052631578947367,0.5,0.0,9,0.4090909090909091,0.4545454545454546,0.25
19284,274342040,2,62.0,1,0,2.967732260424287,1,90000.0,22,0.4,7.411477230242269,0.21052631578947367,0.5,0.0,6,0.2727272727272727,0.42424242424242425,0.25
19285,272889464,2,63.3,1,1,3.03741182840023,1,90000.0,7,0.8999999999999999,6.051544551750535,0.42105263157894735,0.0,0.0,2,0.2857142857142857,0.4545454545454546,0.25
19286,186135278,2,60.0,1,1,3.4,1,90000.0,7,0.7999999999999999,6.051544551750535,0.21052631578947367,0.0,0.0,6,0.8571428571428571,0.42424242424242425,0.25
19287,272184102,1,47.7,1,1,2.967732260424287,1,92000.0,21,0.5,6.051544551750535,0.21052631578947367,0.5,0.0,17,0.8095238095238095,0.24242424242424243,0.25
19288,274480254,3,79.0,1,0,2.7674978777589136,1,95000.0,22,0.2,7.411477230242269,0.0,0.0,0.0,3,0.13636363636363635,0.21212121212121213,1.0
19289,274765701,2,64.3,1,1,3.0,1,95000.0,19,0.6,6.051544551750535,0.21052631578947367,0.5,0.0,11,0.5789473684210527,0.24242424242424243,0.25
19290,271683167,2,72.0,0,0,2.8,1,110000.0,10,0.5,6.051544551750535,0.21052631578947367,0.0,0.0,4,0.4,0.3939393939393939,1.0
19291,273629468,3,135.0,1,0,3.461931892599869,1,120000.0,14,0.4,7.411477230242269,0.21052631578947367,0.5,0.3333333333333333,13,0.9285714285714286,0.21212121212121213,1.0
19292,266785693,2,70.0,1,1,2.967732260424287,1,120000.0,19,0.6,6.051544551750535,0.05263157894736842,0.5,0.0,4,0.21052631578947367,0.24242424242424243,0.25
19293,273826816,2,81.0,1,1,3.2,1,120000.0,4,0.9999999999999999,6.051544551750535,0.42105263157894735,0.0,0.3333333333333333,3,0.75,0.21212121212121213,0.25
19294,274763760,1,31.0,0,0,2.7,1,30000.0,8,0.6,7.411477230242269,0.21052631578947367,0.5,1.0,8,1.0,0.21212121212121213,0.75
19295,221118948,1,28.0,0,0,2.64,1,35000.0,14,0.7,7.411477230242269,0.21052631578947367,0.5,1.0,9,0.6428571428571429,0.21212121212121213,0.0
19296,274329709,1,35.8,0,0,2.64,1,35000.0,12,0.30000000000000004,6.051544551750535,0.21052631578947367,0.0,0.0,2,0.16666666666666666,0.21212121212121213,0.75
19297,274671194,1,30.0,0,0,3.461931892599869,1,35000.0,8,0.2,11.218102854756328,0.21052631578947367,0.5,0.3333333333333333,7,0.875,0.21212121212121213,0.75
19298,274308608,1,30.0,0,0,2.7674978777589136,1,36000.0,12,0.30000000000000004,6.051544551750535,0.21052631578947367,0.5,1.0,12,1.0,0.3939393939393939,0.75
19299,272451585,2,50.0,0,0,2.48,0,36000.0,5,0.30000000000000004,7.411477230242269,0.21052631578947367,0.5,0.3333333333333333,3,0.6,0.0,0.75
19300,269849848,2,42.0,0,0,2.827033831628639,1,37000.0,12,0.7,7.411477230242269,0.0,0.5,1.0,2,0.16666666666666666,0.3939393939393939,0.0
19301,274483083,1,40.0,0,0,3.461931892599869,1,38000.0,8,0.6,7.411477230242269,0.0,0.0,0.0,1,0.125,0.21212121212121213,0.5
19302,269271647,2,42.0,0,0,2.827033831628639,1,39000.0,9,0.7,7.411477230242269,0.21052631578947367,0.5,0.0,8,0.8888888888888888,0.21212121212121213,0.75
19303,274879639,1,38.0,1,0,2.64,1,39000.0,14,0.6,7.411477230242269,0.21052631578947367,0.5,0.0,13,0.9285714285714286,0.24242424242424243,0.75
19304,258344698,1,35.0,0,0,3.0,1,39000.0,5,0.30000000000000004,7.411477230242269,0.21052631578947367,0.5,1.0,2,0.4,0.0,0.5
19305,256646168,1,41.5,1,0,2.64,1,39999.0,22,0.5,7.411477230242269,0.0,0.5,0.0,6,0.2727272727272727,0.42424242424242425,0.75
19306,230503425,1,35.0,1,0,2.6,1,40000.0,9,0.6,7.411477230242269,0.0,0.5,1.0,3,0.3333333333333333,0.21212121212121213,0.5
19307,262872479,1,38.0,1,0,2.48,1,40000.0,16,0.7,6.051544551750535,0.21052631578947367,0.5,1.0,11,0.6875,0.24242424242424243,0.75
19308,270484509,2,60.0,1,0,3.5,1,40000.0,8,0.7,7.411477230242269,0.0,0.0,0.0,1,0.125,0.21212121212121213,0.75
19309,262898620,1,42.0,0,0,2.64,1,40000.0,12,0.6,6.051544551750535,0.21052631578947367,0.5,0.0,9,0.75,0.3939393939393939,0.5
19310,274977415,1,40.0,0,0,3.461931892599869,0,42000.0,8,0.30000000000000004,11.218102854756328,0.21052631578947367,0.0,0.0,2,0.25,0.21212121212121213,0.75
19311,273672842,2,56.0,0,0,2.7,1,42000.0,14,0.2,6.051544551750535,0.0,0.5,0.3333333333333333,8,0.5714285714285714,0.3939393939393939,0.75
19312,250644841,2,45.0,0,0,2.827033831628639,1,42000.0,12,0.6,7.411477230242269,0.21052631578947367,0.5,0.0,10,0.8333333333333334,0.3939393939393939,0.75
19313,273099852,1,39.0,0,0,2.74,1,45000.0,17,0.7999999999999999,6.051544551750535,0.21052631578947367,0.5,0.0,8,0.47058823529411764,0.3939393939393939,0.5
19314,216560331,1,45.0,0,0,2.64,1,45000.0,19,0.6,11.218102854756328,0.0,0.5,0.3333333333333333,2,0.10526315789473684,0.3939393939393939,0.5
19315,274155046,1,31.0,0,0,2.48,0,45000.0,5,0.30000000000000004,7.411477230242269,0.21052631578947367,0.5,1.0,2,0.4,0.0,0.25
19316,273239826,2,58.0,1,0,3.0,1,48000.0,8,0.6,7.411477230242269,0.0,0.5,0.3333333333333333,7,0.875,0.21212121212121213,0.75
19317,274739554,2,44.5,0,0,2.64,1,50000.0,14,0.30000000000000004,6.051544551750535,0.05263157894736842,0.5,0.0,14,1.0,0.3939393939393939,0.75
19318,206014294,2,60.0,1,0,2.8,1,50000.0,8,0.6,6.051544551750535,0.0,0.0,0.3333333333333333,2,0.25,0.21212121212121213,0.5
19319,254129321,2,50.0,0,0,3.03741182840023,1,50000.0,5,0.6,7.411477230242269,0.21052631578947367,0.5,0.0,4,0.8,0.0,0.75
19320,267638418,2,54.0,0,0,3.03741182840023,0,52000.0,12,0.7,7.411477230242269,0.0,0.5,0.0,4,0.3333333333333333,0.21212121212121213,0.5
19321,273645043,2,65.0,1,0,3.03741182840023,1,55000.0,8,0.30000000000000004,7.411477230242269,0.0,1.0,0.0,8,1.0,0.21212121212121213,0.75
19322,274728680,2,55.0,0,0,3.461931892599869,1,55000.0,9,0.6,6.051544551750535,0.21052631578947367,1.0,0.3333333333333333,7,0.7777777777777778,0.21212121212121213,0.75
19323,270333365,2,57.0,1,0,2.75,1,55000.0,12,0.7,6.051544551750535,0.21052631578947367,0.5,0.0,7,0.5833333333333334,0.3939393939393939,0.5
19324,274936274,3,57.0,0,0,3.0,1,56000.0,8,0.6,7.411477230242269,0.21052631578947367,0.0,0.3333333333333333,2,0.25,0.3939393939393939,0.75
19325,272361065,2,58.0,0,0,2.64,1,60000.0,19,0.5,7.411477230242269,0.0,0.5,0.0,16,0.8421052631578947,0.3939393939393939,0.75
19326,272217589,2,57.0,1,0,3.0,1,60000.0,8,0.7,6.051544551750535,0.0,0.5,0.0,7,0.875,0.21212121212121213,0.5
19327,273968810,3,55.0,0,0,2.7674978777589136,1,60000.0,17,0.6,6.051544551750535,0.0,1.0,0.0,10,0.5882352941176471,0.3939393939393939,0.75
19328,274451091,2,53.0,0,0,3.461931892599869,1,60000.0,9,0.7,6.051544551750535,0.21052631578947367,0.0,0.0,4,0.4444444444444444,0.3939393939393939,0.5
19329,273626398,1,50.0,0,0,2.967732260424287,1,60000.0,14,0.5,7.411477230242269,0.21052631578947367,0.0,1.0,13,0.9285714285714286,0.3939393939393939,0.5
19331,266738492,2,44.0,0,0,2.64,0,65000.0,22,0.7,7.411477230242269,0.21052631578947367,0.5,1.0,2,0.09090909090909091,0.42424242424242425,0.25
19332,274334204,3,75.0,1,0,3.461931892599869,1,70000.0,14,0.8999999999999999,7.411477230242269,0.0,0.5,0.0,11,0.7857142857142857,0.24242424242424243,0.75
19333,274235984,2,53.6,1,0,3.461931892599869,1,70000.0,10,0.6,6.051544551750535,0.0,0.5,0.0,7,0.7,0.21212121212121213,0.75
19334,207866426,3,90.0,0,0,3.461931892599869,1,70000.0,10,0.30000000000000004,6.051544551750535,0.0,0.0,0.3333333333333333,4,0.4,0.3939393939393939,0.75
19335,274036245,1,45.0,1,1,3.0,1,75000.0,22,0.7,6.051544551750535,0.21052631578947367,0.5,1.0,5,0.22727272727272727,0.24242424242424243,0.25
19336,274836092,3,90.0,1,0,2.64,1,77000.0,17,0.8999999999999999,6.051544551750535,0.0,0.5,0.0,11,0.6470588235294118,0.24242424242424243,0.5
19337,274792798,3,75.0,0,1,2.7,1,80000.0,17,0.6,6.051544551750535,0.21052631578947367,1.0,0.3333333333333333,16,0.9411764705882353,0.24242424242424243,0.75
19339,273663242,3,90.0,1,1,2.8,1,80000.0,17,0.8999999999999999,6.051544551750535,0.0,1.0,0.3333333333333333,10,0.5882352941176471,0.24242424242424243,0.5
19341,274350745,4,83.7,1,0,3.0,1,80000.0,8,0.6,7.411477230242269,0.0,0.5,0.0,3,0.375,0.21212121212121213,0.75
19342,246540385,3,84.0,1,0,3.0,1,85000.0,8,0.7999999999999999,7.411477230242269,0.21052631578947367,0.5,0.0,5,0.625,0.21212121212121213,0.5
19343,274940632,2,67.0,1,0,3.03741182840023,1,87000.0,8,0.5,7.411477230242269,0.0,0.0,0.0,3,0.375,0.21212121212121213,0.25
19344,256950560,2,69.0,1,0,3.1,0,87000.0,14,0.9999999999999999,7.411477230242269,0.21052631578947367,0.0,1.0,2,0.14285714285714285,0.42424242424242425,0.25
19345,274745362,3,70.0,0,0,6.157920792079208,1,90000.0,10,0.7,6.051544551750535,0.21052631578947367,0.5,0.0,8,0.8,0.21212121212121213,0.5
19346,274329149,3,80.0,0,0,2.74,1,90000.0,17,0.8999999999999999,6.051544551750535,0.0,0.5,0.3333333333333333,7,0.4117647058823529,0.3939393939393939,0.5
19347,274020558,3,78.0,0,0,2.64,1,90000.0,22,0.30000000000000004,7.411477230242269,0.0,0.5,0.0,3,0.13636363636363635,0.5151515151515151,0.75
19348,271679140,1,42.0,1,1,3.03741182840023,1,92000.0,22,0.2,6.051544551750535,0.21052631578947367,0.5,1.0,12,0.5454545454545454,0.21212121212121213,0.25
19349,271447582,1,42.0,1,1,3.03741182840023,1,92000.0,20,0.4,6.051544551750535,0.21052631578947367,0.5,0.0,17,0.85,0.21212121212121213,0.25
19350,274376801,3,100.0,0,0,3.2,0,95000.0,5,0.7,11.218102854756328,0.42105263157894735,0.0,0.0,5,1.0,0.21212121212121213,0.25
